soc_code,occ_title,employer_name,agc_type,url,url_type,source_type
11-9041,Architectural and Engineering Managers,USAJobs.gov,national,https://www.usajobs.gov/,job_board,job_board
13-1082,Project Management Specialists,CMAA Career HQ,national,https://jobs.constructionmanagement.org/,job_board,job_board
13-1082,Project Management Specialists,ConstructionJobs.com,national,https://www.constructionjobs.com/,job_board,job_board
13-1082,Project Management Specialists,Live-and-Work-in-Maine,maine,https://www.liveandworkinmaine.com/jobs/,job_board,job_board
13-1082,Project Management Specialists,Maine.gov Job Board,maine,https://www.maine.gov/jobs/,job_board,job_board
13-1082,Project Management Specialists,Michael Page Construction,national,https://www.michaelpage.com/jobs/construction,job_board,job_board
13-1082,Project Management Specialists,iHireConstruction,national,https://www.ihireconstruction.com/,job_board,job_board
13-1082,Project Management Specialists,Comprehensive Land Technologies,Specialty Contractors,https://www.indeed.com/jobs?q=Project%20Management%20Specialists&l=Maine,indeed_fallback,local_employer
17-2051,Civil Engineers,AASHTO Jobs,national,https://jobs.transportation.org/,job_board,job_board
17-2051,Civil Engineers,ASCE Career Connections,national,https://careers.asce.org/,job_board,job_board
17-2051,Civil Engineers,ConstructionJobs.com,national,https://www.constructionjobs.com/,job_board,job_board
17-2051,Civil Engineers,EngineerJobs.com,national,https://www.engineerjobs.com/,job_board,job_board
17-2051,Civil Engineers,Haley Ward,maine,https://www.haleyward.com/careers,job_board,job_board
17-2051,Civil Engineers,ITE Hire,national,https://jobs.ite.org/,job_board,job_board
17-2051,Civil Engineers,Maine.gov Job Board,maine,https://www.maine.gov/jobs/,job_board,job_board
17-2051,Civil Engineers,NSPE-Maine,maine,https://www.nspe.org/resources/career-center,job_board,job_board
17-2051,Civil Engineers,Reed & Reed,maine,https://www.reedreed.com/careers,job_board,job_board
17-2051,Civil Engineers,Sebago Technics,maine,https://www.sebagotechnics.com/careers,job_board,job_board
17-2051,Civil Engineers,USAJobs.gov,national,https://www.usajobs.gov/,job_board,job_board
17-2051,Civil Engineers,Comprehensive Land Technologies,Specialty Contractors,https://www.indeed.com/jobs?q=Civil%20Engineers&l=Maine,indeed_fallback,local_employer
17-2051.01,Transportation Engineers,AASHTO Jobs,national,https://jobs.transportation.org/,job_board,job_board
17-2051.01,Transportation Engineers,ASCE Career Connections,national,https://careers.asce.org/,job_board,job_board
17-2051.01,Transportation Engineers,ConstructionJobs.com,national,https://www.constructionjobs.com/,job_board,job_board
17-2051.01,Transportation Engineers,EngineerJobs.com,national,https://www.engineerjobs.com/,job_board,job_board
17-2051.01,Transportation Engineers,ITE Hire,national,https://jobs.ite.org/,job_board,job_board
17-2051.01,Transportation Engineers,MaineDOT Careers,maine,https://maine.wd5.myworkdayjobs.com/Executive?q=Department+of+Transportation,job_board,job_board
17-2051.01,Transportation Engineers,NSPE-Maine,maine,https://www.nspe.org/resources/career-center,job_board,job_board
17-2051.01,Transportation Engineers,USAJobs.gov,national,https://www.usajobs.gov/,job_board,job_board
17-3022,Civil Engineering Technologists and Technicians,AASHTO Jobs,national,https://jobs.transportation.org/,job_board,job_board
17-3022,Civil Engineering Technologists and Technicians,ASCE Career Connections,national,https://careers.asce.org/,job_board,job_board
17-3022,Civil Engineering Technologists and Technicians,ConstructionJobs.com,national,https://www.constructionjobs.com/,job_board,job_board
17-3022,Civil Engineering Technologists and Technicians,Maine Turnpike Authority,maine,https://www.maineturnpike.com/About-MTA/Employment.aspx,job_board,job_board
17-3022,Civil Engineering Technologists and Technicians,NSPE-Maine,maine,https://www.nspe.org/resources/career-center,job_board,job_board
17-3022,Civil Engineering Technologists and Technicians,Sebago Technics,maine,https://www.sebagotechnics.com/careers,job_board,job_board
17-3022,Civil Engineering Technologists and Technicians,Comprehensive Land Technologies,Specialty Contractors,https://www.indeed.com/jobs?q=Civil%20Engineering%20Technologists%20and%20Technicians&l=Maine,indeed_fallback,local_employer
19-4044,Hydrologists,ConstructionJobs.com,national,https://www.constructionjobs.com/,job_board,job_board
19-4044,Hydrologists,Haley Ward,maine,https://www.haleyward.com/careers,job_board,job_board
19-4044,Hydrologists,Maine.gov Job Board,maine,https://www.maine.gov/jobs/,job_board,job_board
47-1011,First-Line Supervisors of Construction Trades,AGC Maine,maine,https://www.agcmaine.org/career-center/,job_board,job_board
47-1011,First-Line Supervisors of Construction Trades,ConstructionJobs.com,national,https://www.constructionjobs.com/,job_board,job_board
47-1011,First-Line Supervisors of Construction Trades,Maine Hire-A-Vet,maine,https://www.maine.gov/labor/hire_a_vet/,job_board,job_board
47-1011,First-Line Supervisors of Construction Trades,Maine Turnpike Authority,maine,https://www.maineturnpike.com/About-MTA/Employment.aspx,job_board,job_board
47-1011,First-Line Supervisors of Construction Trades,MaineDOT Careers,maine,https://maine.wd5.myworkdayjobs.com/Executive?q=Department+of+Transportation,job_board,job_board
47-1011,First-Line Supervisors of Construction Trades,Sargent,maine,https://www.sargentcorp.com/careers,job_board,job_board
47-1011,First-Line Supervisors of Construction Trades,iHireConstruction,national,https://www.ihireconstruction.com/,job_board,job_board
47-1011,First-Line Supervisors of Construction Trades,American Defense Industrial,General Contractors,https://www.indeed.com/jobs?q=First-Line%20Supervisors%20of%20Construction%20Trades&l=Maine,indeed_fallback,local_employer
47-1011,First-Line Supervisors of Construction Trades,Arthur C Dudley Contractor,General Contractors,https://www.indeed.com/jobs?q=First-Line%20Supervisors%20of%20Construction%20Trades&l=Maine,indeed_fallback,local_employer
47-1011,First-Line Supervisors of Construction Trades,Bancroft Contractor Corp,General Contractors,https://www.indeed.com/jobs?q=First-Line%20Supervisors%20of%20Construction%20Trades&l=Maine,indeed_fallback,local_employer
47-1011,First-Line Supervisors of Construction Trades,Beaupre's Construction LLC,General Contractors,https://www.indeed.com/jobs?q=First-Line%20Supervisors%20of%20Construction%20Trades&l=Maine,indeed_fallback,local_employer
47-1011,First-Line Supervisors of Construction Trades,Bedard Excavation,General Contractors,https://www.indeed.com/jobs?q=First-Line%20Supervisors%20of%20Construction%20Trades&l=Maine,indeed_fallback,local_employer
